dialect	time period	author	publication year	book title
Australian	2000-present	Tsiolkas, Christos	2014	Merciless Gods
Australian	2000-present	Marchetta, Melina	2006	On the Jellicoe Road
Australian	1900-1950	Lawson, Henry	1902	Children of the Bush
Australian	1900-1950	Nix, Garth	1995	Sabriel
Australian	1900-1950	Prichard, Katharine Susannah	1915	The Pioneers
Australian	1850-1900	Boothby, Guy	1897	Sheilah McLeod, A Heroine of the Back Blocks
Australian	1850-1900	Hume, Fergus	1886	The Mystery of a Hansom Cab
Australian	1950-2000	White, Patrick	1976	A Fringe of Leaves
Australian	1950-2000	McCullough, Colleen	1977	The Thorn Birds
British	2000-present	McEwan, Ian	2001	Atonement
British	2000-present	Rowling, J. K.	2003	Harry Potter and the Order of the Phoenix
British	2000-present	Rowling, J. K.	2005	Harry Potter and the Half Blood Prince
British	2000-present	Rowling, J. K.	2007	Harry Potter and the Deathly Hallows
British	2000-present	Rowling, J. K.	2000	Harry Potter and the Goblet of Fire
British	1900-1950	Woolf, Virginia	1925	Mrs Dalloway
British	1900-1950	Christie, Agatha	1924	The Man in the Brown Suit
British	1900-1950	Christie, Agatha	1926	The Murder of Roger Ackroyd
British	1850-1900	Doyle, Arthur Conan	1892	The Adventures of Sherlock Holmes
British	1850-1900	Doyle, Arthur Conan	1887	A Study in Scarlet
British	1850-1900	Stoker, Bram	1897	Dracula
British	1950-2000	Lewis, C. S.	1951	Prince Caspian
British	1950-2000	Lewis, C. S.	1955	The Magician's Nephew
British	1950-2000	Lewis, C. S.	1954	The Horse and His Boy
British	1950-2000	Lewis, C. S.	1952	The Voyage of the Dawn Treader
British	1950-2000	Jones, Diana Wynne	1986	Howl's Moving Castle
British	1950-2000	Lewis, C. S.	1956	The Last Battle
British	1950-2000	Lewis, C. S.	1953	The Silver Chair
British	1950-2000	Lewis, C. S.	1950	The Lion the Witch and the Wardrobe
Canadian	2000-present	Donoghue, Emma	2010	Room
Canadian	2000-present	Mandel, Emily St John	2014	Station Eleven
Canadian	1900-1950	Campbell, Grace	1919	Thorn Apple Tree
Canadian	1900-1950	Montgomery, Lucy Maud	1908	Anne of Green Gables
Canadian	1850-1900	Kirby, William	1877	The Golden Dog
Canadian	1850-1900	De Mille, James	1888	A Strange Manuscript Found in a Copper Cylinder
Canadian	1950-2000	Munro, Alice	1994	Open Secrets
Canadian	1950-2000	Atwood, Margaret	1985	The Handmaid's Tale
American	2000-present	Wells, Martha	2018	Artificial Condition
American	2000-present	Collins, Suzanne	2008	The Hunger Games
American	2000-present	Wells, Martha	2020	Network Effect
American	2000-present	Wells, Martha	2017	All Systems Red
American	2000-present	Wells, Martha	2021	Fugitive Telemetry
American	2000-present	Wells, Martha	2018	Rogue Protocol
American	2000-present	Wells, Martha	2018	Exit Strategy
American	1900-1950	Hemingway, Ernest	1929	A Farewell to Arms
American	1900-1950	Fitzgerald, F. Scott	1925	The Great Gatsby
American	1850-1900	Twain, Mark	1884	Huckleberry Finn
American	1850-1900	Alcott, Louisa May	1868	Little Women
American	1950-2000	Salinger, J.D.	1951	Catcher in the Rye
American	1950-2000	Lee, Harper	1960	To Kill a Mockingbird
American	1950-2000	Bradbury, Ray	1953	Fahrenheit 451
